run,script,time
1,ruby download_books.rb,0m0.607
1,python download_books.py,0m0.552
1,zig run download_books.zig,0m0.065
1,java DownloadBooks,0m1.042
2,node download_books.js,0m5.435
2,cargo run,0m0.522
1,node download_books.js,0m5.502
1,cargo run,0m0.566
2,ts-node download_books.ts,0m1.462
3,ruby download_books.rb,0m0.583
3,python download_books.py,0m0.667
3,zig run download_books.zig,0m0.081
1,ts-node download_books.ts,0m1.704
2,ruby download_books.rb,0m0.675
3,java DownloadBooks,0m1.162
2,python download_books.py,0m0.748
2,zig run download_books.zig,0m0.084
1,node download_books.js,0m5.461
1,cargo run,0m0.489
2,java DownloadBooks,0m1.016
1,ts-node download_books.ts,0m1.728
2,ruby download_books.rb,0m0.711
2,python download_books.py,0m0.709
2,zig run download_books.zig,0m0.084
3,node download_books.js,0m5.464
2,java DownloadBooks,0m1.104
3,cargo run,0m0.578
2,node download_books.js,0m5.465
2,cargo run,0m0.610
3,ts-node download_books.ts,0m1.969
2,ts-node download_books.ts,0m1.866
3,ruby download_books.rb,0m0.881
2,node download_books.js,0m5.443
3,python download_books.py,0m0.799
3,zig run download_books.zig,0m0.086
2,cargo run,0m0.527
3,java DownloadBooks,0m1.011
2,ts-node download_books.ts,0m1.709
3,ruby download_books.rb,0m0.774
3,python download_books.py,0m0.616
3,zig run download_books.zig,0m0.087
3,java DownloadBooks,0m1.236
3,node download_books.js,0m5.516
3,cargo run,0m0.522
3,ts-node download_books.ts,0m1.448
3,node download_books.js,0m5.423
3,cargo run,0m0.525
3,ts-node download_books.ts,0m1.431
4,python download_books.py,0m0.001s
4,node download_books.js,0m0.001s
4,ruby download_books.rb,0m0.000s
4,cargo run --bin download_books,0m0.001s
4,zig run download_books.zig,0m0.001s
4,java DownloadBooks,0m0.001s
4,npx tsx download_books.ts,0m0.001s
5,python download_books.py,0m0.001s
5,node download_books.js,0m0.000s
5,ruby download_books.rb,0m0.000s
5,cargo run --bin download_books,0m0.001s
5,zig run download_books.zig,0m0.001s
5,java DownloadBooks,0m0.000s
5,npx tsx download_books.ts,0m0.001s
6,python download_books.py,0m0.001s
6,node download_books.js,0m0.001s
6,ruby download_books.rb,0m0.001s
6,cargo run --bin download_books,0m0.001s
6,zig run download_books.zig,0m0.001s
6,java DownloadBooks,0m0.000s
6,npx tsx download_books.ts,0m0.001s
7,python download_books.py,0m0.001s
7,node download_books.js,0m0.001s
7,ruby download_books.rb,0m0.001s
7,cargo run --bin download_books,0m0.001s
7,zig run download_books.zig,0m0.001s
7,java DownloadBooks,0m0.001s
7,npx tsx download_books.ts,0m0.001s
8,python download_books.py,0m0.001s
8,node download_books.js,0m0.001s
8,ruby download_books.rb,0m0.001s
8,cargo run --bin download_books,0m0.001s
8,zig run download_books.zig,0m0.001s
8,java DownloadBooks,0m0.000s
8,npx tsx download_books.ts,0m0.000s
